"set"	"subject"	"subject_set"	"session"	"list"	"group"	"age"	"sex"	"hand"	"assist"	"trial"	"file"	"stimulus"	"is_target"	"is_word"	"targettype"	"red"	"is_schwa"	"duration"	"rt"	"rt_end"	"response"	"correctness"	"log_rt"	"preceding_rt"	"log_preceding_rt"	"voctest_correctness"	"jaar"	"spreken"	"luisteren"	"lezen"	"schrijven"	"av_prof"	"lextale.scores"	"p_universally"	"p_french"	"p_dutch"	"r"
"t24"	22	"22 t24"	1	"B1"	"2"	22	"female"	"right"	"Ferdy"	43	"t24_2_p1_2_mono.wav"	"le f'san"	"yes"	"yes"	"match"	"r"	"yes"	573	1072	499	5	"yes"	6.97728134163075	1165	7.0604763659998	"correct"	3	2	2	2	2	2	-6	"I"	"I"	"I"	"no"
"t24"	3	"3 t24"	1	"A2"	"1"	23	"female"	"left"	"Other"	61	"t24_2_p1_2_mono.wav"	"le f'san"	"yes"	"yes"	"mismatch"	"r"	"yes"	573	1839	1266	1	"yes"	7.51697722460432	1617	7.38832785957711	"correct"	3.5	2	2	3	2	2.25	-3	"I"	"I"	"I"	"no"
"t24"	9	"9 t24"	1	"C1"	"1"	18	"female"	"right"	"Other"	161	"t24_2_p1_2_mono.wav"	"le f'san"	"yes"	"yes"	"mismatch"	"r"	"yes"	573	1028	455	5	"yes"	6.93537044601511	2950	7.98956044933387	"correct"	3	4	3	4	2	3.25	-3	"I"	"I"	"I"	"no"
"t24"	33	"33 t24"	1	"C1"	"1"	18	"female"	"right"	"Ilse"	161	"t24_2_p1_2_mono.wav"	"le f'san"	"yes"	"yes"	"mismatch"	"r"	"yes"	573	1685	1112	5	"yes"	7.42952084278646	2158	7.67693714581808	"correct"	3	2	3	4	2	2.75	6	"I"	"I"	"I"	"no"
"t24"	47	"47 t24"	1	"B1"	"1"	23	"female"	"left"	"Ferdy"	43	"t24_2_p1_2_mono.wav"	"le f'san"	"yes"	"yes"	"mismatch"	"r"	"yes"	573	1013	440	1	"yes"	6.92067150424868	1991	7.5963923040642	"correct"	3	1	1	1	1	1	-7	"I"	"I"	"I"	"no"
"t24"	36	"36 t24"	1	"C2"	"2"	21	"male"	"right"	"Other"	161	"t24_1_p2_2_mono.wav"	"le faisan"	"yes"	"yes"	"mismatch"	"u"	"yes"	686	1323	637	5	"yes"	7.18765716411496	1617	7.38832785957711	"correct"	3	2	3	4	2	2.75	-12	"I"	"I"	"I"	"no"
"t24"	2	"2 t24"	1	"A1"	"2"	21	"female"	"right"	"Other"	61	"t24_1_p2_2_mono.wav"	"le faisan"	"yes"	"yes"	"mismatch"	"u"	"yes"	686	1270	584	5	"yes"	7.14677217945264	2067	7.63385355968177	"correct"	3	2	2	3	2	2.25	-2	"I"	"I"	"I"	"no"
"t24"	1	"1 t24"	1	"A1"	"1"	22	"female"	"right"	"Other"	61	"t24_1_p2_2_mono.wav"	"le faisan"	"yes"	"yes"	"match"	"u"	"yes"	686	1133	447	5	"yes"	7.03262426102801	1953	7.57712193087668	"correct"	3	1	2	2	1	1.5	-7	"I"	"I"	"I"	"no"
"t24"	8	"8 t24"	1	"B2"	"2"	22	"female"	"right"	"Other"	43	"t24_1_p2_2_mono.wav"	"le faisan"	"yes"	"yes"	"mismatch"	"u"	"yes"	686	2248	1562	5	"yes"	7.71779621101358	1412	7.25276241805319	"correct"	3	2	2	2	1	1.75	-4	"I"	"I"	"I"	"no"
"t24"	50	"50 t24"	1	"B2"	"2"	18	"female"	"right"	"Nadia"	43	"t24_1_p2_2_mono.wav"	"le faisan"	"yes"	"yes"	"mismatch"	"u"	"yes"	686	1532	846	5	"yes"	7.33432935030054	1004	6.91174730025167	"correct"	3	2	2	5	2	2.75	8	"I"	"I"	"I"	"no"
"t24"	45	"45 t24"	1	"A2"	"1"	19	"male"	"right"	"Ilse"	61	"t24_2_p1_2_mono.wav"	"le f'san"	"yes"	"yes"	"mismatch"	"r"	"yes"	573	1158	585	5	"yes"	7.05444965813294	1351	7.2086003379602	"correct"	3	1	2	1	1	1.25	-6	"I"	"I"	"I"	"no"
"t24"	20	"20 t24"	1	"A2"	"2"	21	"male"	"right"	"Other"	61	"t24_2_p1_2_mono.wav"	"le f'san"	"yes"	"yes"	"match"	"r"	"yes"	573	1185	612	5	"yes"	7.07749805356923	1897	7.54802896993501	"correct"	2	3	2	2	1	2	-2	"I"	"I"	"I"	"no"
"t24"	26	"26 t24"	1	"C1"	"2"	23	"female"	"right"	"Other"	161	"t24_2_p1_2_mono.wav"	"le f'san"	"yes"	"yes"	"match"	"r"	"yes"	573	1433	860	5	"yes"	7.26752542782817	2034	7.61775957660851	"correct"	3	1	2	2	1	1.5	-3	"I"	"I"	"I"	"no"
"t24"	41	"41 t24"	1	"D1"	"1"	19	"male"	"right"	"Ilse"	166	"t24_1_p2_2_mono.wav"	"le faisan"	"yes"	"yes"	"match"	"u"	"yes"	686	1089	403	5	"yes"	6.99301512293296	3047	8.02191277898571	"correct"	3	3	3	3	2	2.75	-6	"I"	"I"	"I"	"no"
"t24"	24	"24 t24"	1	"B2"	"2"	18	"female"	"right"	"Ferdy"	43	"t24_1_p2_2_mono.wav"	"le faisan"	"yes"	"yes"	"mismatch"	"u"	"yes"	686	1387	701	5	"yes"	7.23489842031483	1675	7.42356844425917	"correct"	3	1	3	3	1	2	2	"I"	"I"	"I"	"no"
"t24"	27	"27 t24"	1	"C2"	"1"	22	"male"	"right"	"Other"	161	"t24_1_p2_2_mono.wav"	"le faisan"	"yes"	"yes"	"match"	"u"	"yes"	686	1118	432	5	"yes"	7.01929665371504	1192	7.0833878476253	"correct"	3	1	2	2	1	1.5	11	"I"	"I"	"I"	"no"
